,name,price,quantity_sold,shop_name,url
0,Quần Jean Xám Mỏng Màu Xám Khói Lưng Cao Ống Rộng Phong Cách Hàn Quốc Thiết Kế Mới 2022 Cho Nữ,160.072,Đã bán 931,,https://shopee.vn/Quần-Jean-Xám-Mỏng-Màu-Xám-Khói-Lưng-Cao-Ống-Rộng-Phong-Cách-Hàn-Quốc-Thiết-Kế-Mới-2022-Cho-Nữ-i.734451476.15872129067?sp_atk=3476204b-e0d8-4e41-944e-44d25a2225b4&xptdk=3476204b-e0d8-4e41-944e-44d25a2225b4
1,Quần jeans lưng cao ống rộng màu RETRO,139.000,"Đã bán 4,6k",,https://shopee.vn/Quần-jeans-lưng-cao-ống-rộng-màu-RETRO-i.168779384.18350874311?sp_atk=ab71c9ff-42bd-4424-9b06-8c68720ae6b9&xptdk=ab71c9ff-42bd-4424-9b06-8c68720ae6b9
2,"Quần jean nam nữ unisex dáng suông rộng, quần bò baggy trơn form ống rộng dễ phối đồ, chất jean đẹp",99.000,"Đã bán 29,9k",,https://shopee.vn/Quần-jean-nam-nữ-unisex-dáng-suông-rộng-quần-bò-baggy-trơn-form-ống-rộng-dễ-phối-đồ-chất-jean-đẹp-i.40021101.6296792784?sp_atk=6ae41609-ccfc-44ab-9cc5-b5a2d9e19c9a&xptdk=6ae41609-ccfc-44ab-9cc5-b5a2d9e19c9a
3,Daduhey Quần jeans ống rộng eo cao thời trang đường phố sành điệu với 6 màu tùy chọn dành cho nữ,142.000,"Đã bán 16,9k",,https://shopee.vn/Daduhey-Quần-jeans-ống-rộng-eo-cao-thời-trang-đường-phố-sành-điệu-với-6-màu-tùy-chọn-dành-cho-nữ-i.243563394.12264559828?sp_atk=db93fa2f-2e35-41a9-8363-77426d86fc9c&xptdk=db93fa2f-2e35-41a9-8363-77426d86fc9c
4,"Quần jean nam đen ống suông rộng CẠP CAO, Quần bò nam rộng mầu xanh dáng baggy xu hướng 2023 HELLOYOU",145.000,"Đã bán 12,7k",,https://shopee.vn/Quần-jean-nam-đen-ống-suông-rộng-CẠP-CAO-Quần-bò-nam-rộng-mầu-xanh-dáng-baggy-xu-hướng-2023-HELLOYOU-i.275899480.8917923428?sp_atk=3c595d8c-b1d9-4b25-b966-cf611080357b&xptdk=3c595d8c-b1d9-4b25-b966-cf611080357b
5,Quần Jeans Dài Ống Rộng Lưng Cao Rách Gối Thời Trang Cho Nữ,174.243,"Đã bán 2,3k",,https://shopee.vn/Quần-Jeans-Dài-Ống-Rộng-Lưng-Cao-Rách-Gối-Thời-Trang-Cho-Nữ-i.734451476.20605901260?sp_atk=ecfca122-63e3-49c9-a58f-589351577c74&xptdk=ecfca122-63e3-49c9-a58f-589351577c74
6,Quần jean ZHELIHANGFEI mỏng màu xám khói lưng cao ống rộng phong cách Hàn Quốc thiết kế thời trang 2022 cho nữ,241.970,Đã bán 143,,https://shopee.vn/Quần-jean-ZHELIHANGFEI-mỏng-màu-xám-khói-lưng-cao-ống-rộng-phong-cách-Hàn-Quốc-thiết-kế-thời-trang-2022-cho-nữ-i.744827142.19132889986?sp_atk=8b0b3259-27b9-42d1-9776-31a224615b36&xptdk=8b0b3259-27b9-42d1-9776-31a224615b36
7,"QUẦN JEANS CHẤT BÒ, ỐNG SUÔNG RỘNG RÁCH LOANG 2 MÀU ĐEN CẠP CAO DÀI CHÂN SIÊU TÔN DANGSANG CHẢNH - DUBATI FASHION",83.200,Đã bán 170,,https://shopee.vn/QUẦN-JEANS-CHẤT-BÒ-ỐNG-SUÔNG-RỘNG-RÁCH-LOANG-2-MÀU-ĐEN-CẠP-CAO-DÀI-CHÂN-SIÊU-TÔN-DANGSANG-CHẢNH-DUBATI-FASHION-i.88972759.18029189998?sp_atk=bed5cae1-ec20-4628-af91-c5e252403a7f&xptdk=bed5cae1-ec20-4628-af91-c5e252403a7f
8,Quần jean nữ ống rộng đen xám phong cách Ulzzang - Quần jeans baggy suông màu xám tro UF01,139.000,"Đã bán 4,4k",,https://shopee.vn/Quần-jean-nữ-ống-rộng-đen-xám-phong-cách-Ulzzang-Quần-jeans-baggy-suông-màu-xám-tro-UF01-i.752498846.16077573906?sp_atk=577123d6-db85-4f74-aee5-7d3e463a4d17&xptdk=577123d6-db85-4f74-aee5-7d3e463a4d17
9,Quần Jean Nữ Ống Rộng Lưng Cao Rách Gối Thời Trang Mới,167.750,Đã bán 418,,https://shopee.vn/Quần-Jean-Nữ-Ống-Rộng-Lưng-Cao-Rách-Gối-Thời-Trang-Mới-i.391866872.19334918652?sp_atk=827eee0c-0271-42e3-903e-75d79eb4e439&xptdk=827eee0c-0271-42e3-903e-75d79eb4e439
10,Quần jean nam BASIC ống suông rộng dáng baggy Wash 2 màu đen - xám mã DX01,132.000,"Đã bán 10,6k",,https://shopee.vn/Quần-jean-nam-BASIC-ống-suông-rộng-dáng-baggy-Wash-2-màu-đen-xám-mã-DX01-i.439135281.11008647077?sp_atk=45ce56b8-3196-4874-8c1f-b07be4f62cdd&xptdk=45ce56b8-3196-4874-8c1f-b07be4f62cdd
11,"quần jean nam chữ thập thêu rách gối khóa séc zip đen HELLOYOU, quần baggy ống rộng thánh giá  hottrend 2023",152.000,"Đã bán 24,3k",,https://shopee.vn/quần-jean-nam-chữ-thập-thêu-rách-gối-khóa-séc-zip-đen-HELLOYOU-quần-baggy-ống-rộng-thánh-giá-hottrend-2023-i.275899480.9917942690?sp_atk=8b9469c6-c0e8-49bc-b380-29718a2ae59f&xptdk=8b9469c6-c0e8-49bc-b380-29718a2ae59f
12,Quần jean baggy nam rách trắng đen 2 gối gấu ống suông rộng chất vải bò cao cấp RG01 Ullzang hàn quốc Helloyou 2022,145.000,"Đã bán 7,4k",,https://shopee.vn/Quần-jean-baggy-nam-rách-trắng-đen-2-gối-gấu-ống-suông-rộng-chất-vải-bò-cao-cấp-RG01-Ullzang-hàn-quốc-Helloyou-2022-i.275899480.6679994716?sp_atk=b6bc4341-dc3c-4601-ae2a-a06f2084d9f8&xptdk=b6bc4341-dc3c-4601-ae2a-a06f2084d9f8
13,"Quần jean nam Baggy phom suông rộng TR01, quần bò nam ống đứng hottrend hàn quốc 2023",145.000,"Đã bán 117,8k",,https://shopee.vn/Quần-jean-nam-Baggy-phom-suông-rộng-TR01-quần-bò-nam-ống-đứng-hottrend-hàn-quốc-2023-i.119017165.5170782167?sp_atk=b55903be-2c52-4dfe-8164-3507df8db3cf&xptdk=b55903be-2c52-4dfe-8164-3507df8db3cf
14,Quần Jean Rách Màu Đen Phong Cách Âu Mỹ Thời Trang Mùa Hè Cho Nữ,179.139,Đã bán 341,,https://shopee.vn/Quần-Jean-Rách-Màu-Đen-Phong-Cách-Âu-Mỹ-Thời-Trang-Mùa-Hè-Cho-Nữ-i.734451476.17043703648?sp_atk=e6b23486-776b-4015-b7a8-a6a8a4bdd967&xptdk=e6b23486-776b-4015-b7a8-a6a8a4bdd967
15,Quần Jean Lưng Cao Ống Suông Thời Trang Retro Đường Phố Mỹ Cho Nữ,252.000,Đã bán 96,,https://shopee.vn/Quần-Jean-Lưng-Cao-Ống-Suông-Thời-Trang-Retro-Đường-Phố-Mỹ-Cho-Nữ-i.460971368.20343261368?sp_atk=30d641d3-1e93-4e31-9dd9-8f62b9e772d8&xptdk=30d641d3-1e93-4e31-9dd9-8f62b9e772d8
16,Quần jean đen nam baggy Wash 2 màu xám ống suông rộng dáng đứng vải jeans bò cao cấp 20WE SR01 hottrend 2022,139.000,"Đã bán 10,4k",,https://shopee.vn/Quần-jean-đen-nam-baggy-Wash-2-màu-xám-ống-suông-rộng-dáng-đứng-vải-jeans-bò-cao-cấp-20WE-SR01-hottrend-2022-i.119017165.6468244078?sp_atk=9fcc9ced-d0c5-4cc8-9648-538123e927cf&xptdk=9fcc9ced-d0c5-4cc8-9648-538123e927cf
