,name,price,quantity_sold,shop_name,url
0,Áo khoác dù nam chất liệu dù gió 2 lớp cao cấp dáng from bóng chày bomber đẹp AD09 Nhiều mẫu mới,79.000,Đã bán 5k,,https://shopee.vn/Áo-khoác-dù-nam-chất-liệu-dù-gió-2-lớp-cao-cấp-dáng-from-bóng-chày-bomber-đẹp-AD09-Nhiều-mẫu-mới-i.782549849.20310307076?sp_atk=3217df9e-c9b3-497b-850a-220c03c69d0e&xptdk=3217df9e-c9b3-497b-850a-220c03c69d0e
1,áo khoác hoodie NAM Áo Khoác Bóng Chày Có Mũ Trùm Dáng Rộng Màu Gradient Phong Cách Đường Phố Hàn Quốc Cá Tính,112.000,,,https://shopee.vn/áo-khoác-hoodie-NAM-Áo-Khoác-Bóng-Chày-Có-Mũ-Trùm-Dáng-Rộng-Màu-Gradient-Phong-Cách-Đường-Phố-Hàn-Quốc-Cá-Tính-i.954880566.22828365820?sp_atk=00377d44-6933-48f9-8254-bf3cdf657852&xptdk=00377d44-6933-48f9-8254-bf3cdf657852
2,Áo khoác hoodie zip khóa kéo phom rộng unisex CAPMAN basic dành cho nam nữ,299.000,Đã bán 55,,https://shopee.vn/Áo-khoác-hoodie-zip-khóa-kéo-phom-rộng-unisex-CAPMAN-basic-dành-cho-nam-nữ-i.329396034.21974902110?sp_atk=209c3188-1d3a-4cb7-a965-a5e2b5fb0dd4&xptdk=209c3188-1d3a-4cb7-a965-a5e2b5fb0dd4
3,Áo Khoác Nam áo khoác dù nam nữ chất liệu dù gió 2 lớp phối màu cực đẹp D102,89.000,"Đã bán 6,1k",,https://shopee.vn/Áo-Khoác-Nam-áo-khoác-dù-nam-nữ-chất-liệu-dù-gió-2-lớp-phối-màu-cực-đẹp-D102-i.782549849.19307874133?sp_atk=f9b19d0d-e074-4254-a99f-4fe73d9e4324&xptdk=f9b19d0d-e074-4254-a99f-4fe73d9e4324
4,"Áo Khoác Local Brand Jacket Hoodie Zip Nỉ Thu Đông Nam Nữ "" Chữ R "" Unisex Form Rộng",189.000,"Đã bán 8,2k",,https://shopee.vn/Áo-Khoác-Local-Brand-Jacket-Hoodie-Zip-Nỉ-Thu-Đông-Nam-Nữ-Chữ-R-Unisex-Form-Rộng-i.228476792.15281707071?sp_atk=d96ab5f1-7042-4dae-8c2d-d1870dee494e&xptdk=d96ab5f1-7042-4dae-8c2d-d1870dee494e
5,"Áo Khoác Teelab Có Mũ ,Áo gió dù 2 lớp nam nữ",129.000,"Đã bán 2,8k",,https://shopee.vn/Áo-Khoác-Teelab-Có-Mũ-Áo-gió-dù-2-lớp-nam-nữ-i.563494552.17285114446?sp_atk=0c9592f3-7483-4c40-803b-d5e70bd1be5e&xptdk=0c9592f3-7483-4c40-803b-d5e70bd1be5e
6,"Áo Khoác,Áo Gió TEELAB Phối Màu Đen Trắng",154.000,"Đã bán 4,6k",,https://shopee.vn/Áo-Khoác-Áo-Gió-TEELAB-Phối-Màu-Đen-Trắng-i.16771696.21055404787?sp_atk=a723281c-444f-4407-a1d5-c6f8acebee8f&xptdk=a723281c-444f-4407-a1d5-c6f8acebee8f
7,ÁO KHOÁC UNIXEX FROM RỘNG CÁ TÍNH (MS ô vuông),119.999,"Đã bán 6,8k",,https://shopee.vn/ÁO-KHOÁC-UNIXEX-FROM-RỘNG-CÁ-TÍNH-(MS-ô-vuông)-i.34880242.10019762716?sp_atk=6771ab25-2fdc-44dd-b14f-87734e67759f&xptdk=6771ab25-2fdc-44dd-b14f-87734e67759f
8,Áo KHOÁC Hoodie Xanh Rêu NEVER THAT và Ulzzang Unisex 1hitshop,179.000,"Đã bán 4,2k",,https://shopee.vn/Áo-KHOÁC-Hoodie-Xanh-Rêu-NEVER-THAT-và-Ulzzang-Unisex-1hitshop-i.71861331.21205878111?sp_atk=57cce67d-3b42-4844-adad-302d9cfc441f&xptdk=57cce67d-3b42-4844-adad-302d9cfc441f
9,Áo KHOÁC Hoodie CLO &amp; Ulzzang Unisex 1hitshop,189.000,"Đã bán 11,1k",,https://shopee.vn/Áo-KHOÁC-Hoodie-CLO-Ulzzang-Unisex-1hitshop-i.71861331.8125696903?sp_atk=8dc542a0-cd02-4c49-8010-1eab17a1347b&xptdk=8dc542a0-cd02-4c49-8010-1eab17a1347b
